"Id","Name","Category","Price","Quantity","Description","Supplier","ImageUrl"
11,"Tennis Racket","Sports",150,150,"Professional tennis racket for beginners and pros.","Rally Sports","https://media.istockphoto.com/id/901967648/photo/tennis-racket.webp?a=1&b=1&s=612x612&w=0&k=20&c=Lfyihq8auBM3S8k5lN1xz9rQHfpb28IYFr8iJnogrpw="
12,"Resistance Bands","Fitness",22.99,135,"Resistance bands for home workouts.","FitPro","https://media.istockphoto.com/id/2173195557/photo/woman-doing-resistance-band-exercises-at-home.webp?a=1&b=1&s=612x612&w=0&k=20&c=LMjj87z_jd3juDl1EnMEjd21kkbA9Y5PWOJmkV4BD7s="
13,"Jump Rope","Fitness",9.99,182,"Jump rope for cardio and conditioning.","FitnessGear","https://media.istockphoto.com/id/1185567175/photo/skipping-rope-on-white-background-flat-lay.webp?a=1&b=1&s=612x612&w=0&k=20&c=uf_hS89Xc22sfhhtVILFvWBFuuXTjfGBj3a96cYkvW8="
14,"Protein Powder","Health",30,107,"Premium protein powder for muscle growth.","NutraWorld","https://media.istockphoto.com/id/1200872324/photo/whey-protein.webp?a=1&b=1&s=612x612&w=0&k=20&c=5MFOXfv9B_YmZBfIhKy9E8KKu8eMHLvzC2nVSg_8vaE="
15,"Waterproof Watch","Accessories",120,132,"Water-resistant watch for outdoor adventures.","AdventureTech","https://media.istockphoto.com/id/94343912/photo/watch.webp?a=1&b=1&s=612x612&w=0&k=20&c=-oKtxMVCmHBbFQVxLSPiyghvGJpMiH92sVkv415xShs="
16,"Hiking Boots","Footwear",75,33,"High-traction hiking boots.","Trailblaze Boots","https://media.istockphoto.com/id/1422989430/photo/leather-hiking-boots-walking-on-mountain-trail.webp?a=1&b=1&s=612x612&w=0&k=20&c=wR6_7vf39C9eZGKv8tuOQrdFsdIF-mCOEKD1W3ran2I="
17,"Duffle Bag","Accessories",40,130,"Spacious duffle bag for gym or travel.","TravelPro Bags","https://media.istockphoto.com/id/171283263/photo/sportbag.webp?a=1&b=1&s=612x612&w=0&k=20&c=2Kmvi7EpoUaHPJZuycjpZW1zIUQSbLBsM-if69ONyTI="
18,"Sports Headband","Accessories",14.99,25,"Stretch-resistant sports headband.","ActiveFit","https://media.istockphoto.com/id/178932879/photo/sweatband.webp?a=1&b=1&s=612x612&w=0&k=20&c=TNB7GoQ3tQoNObElgVM2Ose3boWEitkXuzDewBkXumk="
19,"Sunglasses","Accessories",25.99,145,"Stylish sunglasses for sunny days.","OutdoorVision","https://media.istockphoto.com/id/1977082593/photo/watermelon-slice-with-sunglasses-and-water-splash-on-blue-background.webp?a=1&b=1&s=612x612&w=0&k=20&c=_hy5Tlo6PuK63F2nLKw_ZjtH_9NBm2A2hO3CG_hwu-k="
20,"Yoga Block","Fitness",18.99,16,"Yoga block to assist with postures.","StretchFlex","https://media.istockphoto.com/id/2138175151/photo/yoga-strap-box-and-yoga-bricks.webp?a=1&b=1&s=612x612&w=0&k=20&c=hozMP4bojFHQP7jHlm6LZ5X3McnJHUxjxJfYt2AGrMI="
21,"Kettlebell","Fitness",29.99,76,"Durable kettlebell for home gym workouts.","Iron Strength","https://media.istockphoto.com/id/154954867/photo/kettle-bell.webp?a=1&b=1&s=612x612&w=0&k=20&c=kePM6ip8tQzf_bIyOaVAyg2GUxla8hKd0pvb5_ZOV8Y="
22,"Yoga Pants","Apparel",40,105,"Comfortable yoga pants.","FlexWear","https://media.istockphoto.com/id/1924080237/photo/a-woman-doing-butt-training-at-the-gym.webp?a=1&b=1&s=612x612&w=0&k=20&c=JIonAXjAGKoOZZps16elrsDtUbC8TrHb4rUae-rvq4E="
23,"Cycling Gloves","Accessories",19.99,196,"Cycling gloves for maximum grip and comfort.","CycleSafe","https://media.istockphoto.com/id/964979858/photo/cycling-gloves-isolated-on-white.webp?a=1&b=1&s=612x612&w=0&k=20&c=1hTfQPcMWbof08jbAzS6vz81C8_oOW8aNlcexEPcCMI="
24,"Compression Socks","Fitness",15.99,123,"Compression socks for better circulation.","HealthPro","https://media.istockphoto.com/id/177502133/photo/running-shoes-closeup.webp?a=1&b=1&s=612x612&w=0&k=20&c=n9DHjB4J7cBGp2z3u9gtyrKCHizcGip40PlbyZh3hWs="
25,"Stretching Strap","Fitness",22,137,"Elastic stretching strap for flexibility.","StretchMaster","https://media.istockphoto.com/id/1267778325/photo/young-asian-woman-using-yoga-strap-to-exercise-flexibility.webp?a=1&b=1&s=612x612&w=0&k=20&c=bbICPyF61-FTHPDy3AGwfxuqAO_m8wDYr8LmU19kJug="
26,"Foam Roller","Fitness",24.99,64,"Foam roller for muscle recovery.","RecoverPro","https://media.istockphoto.com/id/1182421361/photo/young-man-stretching-himself-on-a-foam-roller.webp?a=1&b=1&s=612x612&w=0&k=20&c=Yp0WPsPJCKfXHrTf0UFWGgS50zcmuyC166HVO_ww2FY="
